,chain,protocol,protocol_category,protocol_chains,protocol_mcaptvl,protocol_tvl,protocol_mcap,protocol_strikeTvl
0,Ethereum,Lido,Liquid Staking,"['Ethereum', 'Solana', 'Moonbeam', 'Moonriver', 'Terra Classic']",0.19811188078408387,10522896041.214918,2084710726.020478,True
1,Ethereum,MakerDAO,CDP,['Ethereum'],0.08107939754263249,7759449173.041165,629131464.2128556,False
2,Ethereum,AAVE,,"['Ethereum', 'Polygon', 'Avalanche', 'Optimism', 'Arbitrum', 'Fantom', 'Harmony']",,4834210246.3912525,,False
3,Ethereum,Curve,Dexes,"['Ethereum', 'Optimism', 'Arbitrum', 'Polygon', 'Fantom', 'Gnosis', 'Celo', 'Avalanche', 'Kava', 'Moonbeam', 'Aurora', 'Harmony']",0.18609570260599984,4164487225.4857874,774993176.2204884,False
4,Ethereum,Convex Finance,Yield,"['Ethereum', 'Polygon', 'Arbitrum']",0.11768096977786761,3667508168.952726,431595917.99060833,True
5,Ethereum,Uniswap,,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'BSC', 'Celo']",1.4177157795011355,3445241872.8983912,4884373767.406095,False
6,Ethereum,Instadapp,Services,['Ethereum'],0.012403353122071508,2139112401.5888393,26532166.484708812,True
7,Ethereum,Coinbase Wrapped Staked ETH,Liquid Staking,['Ethereum'],,2108817483.5236566,0.0,True
8,Ethereum,Compound Finance,,"['Ethereum', 'Polygon']",,1858170087.7345686,,False
9,Ethereum,Frax Finance,,"['Ethereum', 'Fantom', 'Dogechain', 'Polygon', 'BSC', 'Arbitrum', 'Avalanche', 'Moonbeam']",,1372258359.45057,,True
10,Ethereum,Balancer,,"['Ethereum', 'Polygon', 'Arbitrum', 'Gnosis']",,1170529005.4117532,,False
11,Ethereum,Rocket Pool,Liquid Staking,['Ethereum'],0.7243564627883083,1133988239.9919949,821411710.3641406,True
12,Ethereum,Liquity,CDP,['Ethereum'],0.30075016726940484,712842779.5243689,214387585.17874143,False
13,Ethereum,Aura,Yield,['Ethereum'],0.10468746209926416,704259077.412388,73727095.47467211,True
14,Ethereum,Sushi,,"['Ethereum', 'Arbitrum', 'Polygon', 'Gnosis', 'Fantom', 'Boba', 'Celo', 'Arbitrum Nova', 'Avalanche', 'BSC', 'Harmony', 'Moonriver', 'Boba_Bnb', 'Telos', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Palm', 'Optimism', 'Moonbeam', 'Bittorrent', 'Kava', 'Metis']",,411067775.0750496,,True
15,Ethereum,Yearn Finance,Yield Aggregator,"['Ethereum', 'Fantom', 'Optimism', 'Arbitrum']",0.7266423101700471,402124430.7155767,292200625.3109817,True
16,Ethereum,dYdX,Derivatives,['Ethereum'],1.2126077915500946,340441373.91868913,412821862.5798216,False
17,Ethereum,Synthetix,Synthetics,"['Ethereum', 'Optimism']",3.007821755531491,310067090.1238391,932626539.3488268,False
18,Ethereum,Arrakis Finance,,"['Ethereum', 'Polygon', 'Optimism']",,273801174.86894876,,True
19,Ethereum,Nexus Mutual,Insurance,['Ethereum'],1.3228669764523007,262532857.084741,347296046.8710753,False
20,Ethereum,Morpho,,['Ethereum'],,256208962.71649998,,False
21,Ethereum,Olympus DAO,Reserve Currency,['Ethereum'],1.2101416928905349,237808614.85495204,287782119.7645249,False
22,Ethereum,Tornado Cash,Privacy,"['Ethereum', 'BSC', 'Polygon', 'Arbitrum', 'Avalanche', 'Gnosis', 'Optimism']",0.05446389518695357,224959542.75268698,12252172.957787344,False
23,Ethereum,Abracadabra,CDP,"['Ethereum', 'Arbitrum', 'Avalanche', 'Fantom']",0.41530538095663005,206376287.901914,85709182.86751956,False
24,Ethereum,BendDAO,,['Ethereum'],,205749136.25990197,,False
25,Ethereum,DefiSaver,Services,['Ethereum'],,161088160.2963485,,True
26,Ethereum,StakeWise,Liquid Staking,"['Ethereum', 'Gnosis']",0.24002596337537124,155907344.95982295,37421810.671277836,True
27,Ethereum,ParaSpace,,['Ethereum'],,143404443.94485041,,False
28,Ethereum,Blur,NFT Marketplace,['Ethereum'],1.7136607838430833,136847820.95408553,234510744.12339613,False
29,Ethereum,UniCrypt,Launchpad,"['Ethereum', 'BSC', 'Polygon', 'Avalanche', 'Gnosis']",0.1370661783446388,121124514.306248,16602074.279807942,False
30,Tron,JustLend,Lending,['Tron'],0.06684147148481126,3683764607.298039,246228246.9554688,False
31,Tron,JustStables,CDP,['Tron'],,1163036243.902335,0.0,False
32,Tron,SUN,,['Tron'],0.13111743933341002,480291008.1572064,62974527.12443485,False
33,Tron,SocialSwap,Dexes,['Tron'],,4979820.186328103,0.0,False
34,Tron,UniFi,Dexes,"['IoTeX', 'Tron', 'Icon', 'Ontology', 'Harmony', 'BSC', 'Ethereum', 'Polygon', 'Avalanche', 'Fantom', 'OntologyEVM', 'Bittorrent']",24.189292866083253,1372402.169209088,33197438.001046576,False
35,Tron,NEOPIN Staking,Liquid Staking,"['Klaytn', 'Tron']",,645269.1297249999,,True
36,Tron,JustMoney,Dexes,"['Tron', 'BSC', 'Polygon', 'Bittorrent']",,253413.1522074139,0.0,False
37,Tron,STRX Finance,Liquid Staking,['Tron'],,38004.608296303384,,True
38,Tron,Garble.Money,Privacy,['Tron'],,8266.608,,False
39,Tron,OneSwap,Dexes,"['CSC', 'Ethereum', 'Tron', 'BSC']",268.5069047607727,6560.914414252,1761650.8217711425,False
40,Tron,RAIDSHIFT Marketplace,Dexes,['Tron'],,222.465958466,,False
41,Tron,FlatCoin DEX,Farm,['Tron'],,125.795645872,,False
42,Tron,Luminous Finance,Dexes,['Tron'],,0.0,0.0,False
43,BSC,PancakeSwap,,"['BSC', 'Aptos', 'Ethereum']",,2284025868.961642,,False
44,BSC,Venus,Lending,['BSC'],0.0821409809922291,915484735.2230347,75198814.2346312,False
45,BSC,Alpaca Finance,,"['BSC', 'Fantom']",,209400543.86395016,,False
46,BSC,PinkSale,Launchpad,"['BSC', 'Ethereum', 'Avalanche', 'Polygon', 'Cronos', 'Fantom']",0.10647402948489261,182062678.9207762,19384947.04350926,False
47,BSC,Coinwind,Yield,"['BSC', 'Ethereum', 'Heco']",,175921722.9020543,0.0,True
48,BSC,BiSwap,Dexes,['BSC'],0.42587592636510885,168069673.89106292,71576828.06223817,False
49,BSC,UniCrypt,Launchpad,"['Ethereum', 'BSC', 'Polygon', 'Avalanche', 'Gnosis']",0.15378820613914593,107954144.8372612,16602074.279807942,False
50,BSC,Thena,Dexes,['BSC'],0.06873321736800753,99441186.2448172,6834912.669497541,False
51,BSC,Ankr,Liquid Staking,"['Ethereum', 'BSC', 'Avalanche', 'Fantom', 'Polkadot', 'Gnosis', 'Kusama']",3.8631192588038212,75632131.535756,292175943.92016286,True
52,BSC,Helio Protocol,CDP,['BSC'],0.6097359998156369,67516639.1266685,41167325.46209076,False
53,BSC,DxSale,Launchpad,"['BSC', 'Ethereum', 'Arbitrum', 'Fantom', 'Polygon', 'Avalanche', 'CORE', 'Cronos', 'Heco', 'OKExChain', 'KCC', 'Celo', 'Harmony', 'Milkomeda C1', 'Bitgert', 'Dexit', 'Moonriver', 'Dogechain', 'Gnosis', 'smartBCH']",0.02164601692489942,65246879.80886487,1412335.0646395674,False
54,BSC,Tranchess,Yield,"['BSC', 'Ethereum']",0.5426641682707851,60619174.39909523,32895853.85654668,True
55,BSC,Team Finance,Launchpad,"['Ethereum', 'BSC', 'Avalanche', 'Polygon', 'Kava']",0.5347608880477315,52885080.12544923,28280872.41236067,False
56,BSC,Wombat Exchange,Dexes,['BSC'],0.1584935055663393,46356387.41425374,7347186.346676406,False
57,BSC,Beefy,Yield Aggregator,"['Optimism', 'Polygon', 'BSC', 'Ethereum', 'Arbitrum', 'Fantom', 'Canto', 'Avalanche', 'Kava', 'Cronos', 'Metis', 'Moonbeam', 'Moonriver', 'Fuse', 'Oasis', 'Aurora', 'Celo', 'Harmony', 'Heco']",0.9151045978835377,42942593.34325,39296964.61345107,True
58,BSC,BabyDogeSwap,Dexes,['BSC'],8.741474368478743,41645756.4134747,364045312.24429834,False
59,BSC,ApeSwap,,"['BSC', 'Polygon', 'Telos', 'Ethereum']",,41371985.61994653,,False
60,BSC,MDEX,Dexes,"['BSC', 'Heco']",2.3448800118967856,34826136.75462023,81663111.96749297,False
61,BSC,ApolloX,Derivatives,"['BSC', 'Ethereum', 'Arbitrum']",0.8464473655389462,32531604.362389218,27536290.809299644,False
62,BSC,Tornado Cash,Privacy,"['Ethereum', 'BSC', 'Polygon', 'Arbitrum', 'Avalanche', 'Gnosis', 'Optimism']",0.3952239914256742,31000579.984,12252172.957787344,False
63,BSC,W3swap,Dexes,['BSC'],,28739132.837060712,,False
64,BSC,Level Finance,Derivatives,['BSC'],,26360090.439205766,,False
65,BSC,Wombex Finance,Yield,['BSC'],0.10476317113889337,25590815.94309915,2680975.030230817,True
66,BSC,Liqee,Lending,"['BSC', 'Ethereum']",,24952784.694437012,,False
67,BSC,iZUMI Finance,,"['BSC', 'Ethereum', 'Polygon', 'Arbitrum', 'Cronos', 'Aurora']",,23980542.83640833,,True
68,BSC,Stargate,Cross Chain,"['Ethereum', 'Arbitrum', 'Optimism', 'Avalanche', 'BSC', 'Polygon', 'Fantom', 'Metis', 'Goerli']",5.608626051922833,22127365.80630915,124104120.32169199,False
69,BSC,Ellipsis Finance,Dexes,['BSC'],1.231951157687807,22095641.62515327,27220751.27996247,False
70,BSC,Planet,,['BSC'],,20119812.515525773,,True
71,BSC,Autofarm,Yield Aggregator,"['BSC', 'Polygon', 'Cronos', 'Fantom', 'Heco', 'Oasis', 'Avalanche', 'OKExChain', 'Moonriver', 'Celo', 'Harmony', 'Velas', 'Gnosis', 'Boba', 'Aurora', 'KCC', 'Wanchain', 'Evmos']",1.1481852833593917,16817311.03348484,19309389.034324814,True
72,BSC,ACryptoS,Yield Aggregator,"['BSC', 'Optimism', 'Kava', 'Fantom', 'Ethereum', 'Arbitrum', 'Cronos', 'Moonbeam', 'Astar', 'Polygon', 'Avalanche', 'Gnosis', 'Moonriver', 'Harmony']",0.15814377994470888,15360176.89388,2429116.434617561,True
73,Arbitrum,GMX,Derivatives,"['Arbitrum', 'Avalanche']",1.4296257748357095,494620504.61357826,707122222.1578164,False
74,Arbitrum,Uniswap V3,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'BSC', 'Celo']",,183421495.32766074,,False
75,Arbitrum,Sushi,,"['Ethereum', 'Arbitrum', 'Polygon', 'Gnosis', 'Fantom', 'Boba', 'Celo', 'Arbitrum Nova', 'Avalanche', 'BSC', 'Harmony', 'Moonriver', 'Boba_Bnb', 'Telos', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Palm', 'Optimism', 'Moonbeam', 'Bittorrent', 'Kava', 'Metis']",,127594973.00703566,,True
76,Arbitrum,Camelot,Dexes,['Arbitrum'],,99099728.44547443,,False
77,Arbitrum,AAVE V3,Lending,"['Ethereum', 'Avalanche', 'Polygon', 'Optimism', 'Arbitrum', 'Fantom', 'Harmony']",,91820376.28716439,,False
78,Arbitrum,Stargate,Cross Chain,"['Ethereum', 'Arbitrum', 'Optimism', 'Avalanche', 'BSC', 'Polygon', 'Fantom', 'Metis', 'Goerli']",1.6401570001131163,75666000.45796405,124104120.32169199,False
79,Arbitrum,Curve,Dexes,"['Ethereum', 'Optimism', 'Arbitrum', 'Polygon', 'Fantom', 'Gnosis', 'Celo', 'Avalanche', 'Kava', 'Moonbeam', 'Aurora', 'Harmony']",10.491808048746394,73866503.52539454,774993176.2204884,False
80,Arbitrum,Balancer V2,Dexes,"['Ethereum', 'Polygon', 'Arbitrum', 'Gnosis']",,70102317.33918114,,False
81,Arbitrum,Ramses Exchange,Dexes,['Arbitrum'],,58032362.514029466,0.0,False
82,Arbitrum,ZyberSwap,,['Arbitrum'],,49670670.814749554,,False
83,Arbitrum,Vela Exchange,Derivatives,['Arbitrum'],0.9631683019374597,48304352.357342556,46525221.03621036,False
84,Arbitrum,Beefy,Yield Aggregator,"['Optimism', 'Polygon', 'BSC', 'Ethereum', 'Arbitrum', 'Fantom', 'Canto', 'Avalanche', 'Kava', 'Cronos', 'Metis', 'Moonbeam', 'Moonriver', 'Fuse', 'Oasis', 'Aurora', 'Celo', 'Harmony', 'Heco']",1.0130234589170166,38791761.69865,39296964.61345107,True
85,Arbitrum,SolidLizard,Dexes,['Arbitrum'],,38610463.2738486,0.0,False
86,Arbitrum,Gains Network,Derivatives,"['Arbitrum', 'Polygon']",7.370669797191238,34867377.86488612,256995928.93597043,False
87,Arbitrum,Dopex,Options,"['Arbitrum', 'BSC', 'Avalanche', 'Ethereum']",2.83740904177674,31197145.503272183,88519062.72860906,False
88,Arbitrum,Abracadabra,CDP,"['Ethereum', 'Arbitrum', 'Avalanche', 'Fantom']",2.7704281546797507,30937161.363575287,85709182.86751956,False
89,Arbitrum,Jones DAO,Options Vault,['Arbitrum'],0.5380871660616731,30112339.34321707,16203063.340679096,False
90,Arbitrum,Arbitrum Exchange,Dexes,['Arbitrum'],,29446740.190808963,,False
91,Arbitrum,Radiant,Lending,['Arbitrum'],6.946975715719739,21469913.666768774,149150968.861642,False
92,Arbitrum,Lyra,Options,"['Arbitrum', 'Optimism', 'Ethereum']",2.3747335892977564,20359273.24045621,48347850.017802335,False
93,Arbitrum,PlutusDAO,Yield,['Arbitrum'],0.5586908411640841,17673631.08475684,9874095.817166502,True
94,Arbitrum,Vesta Finance,CDP,['Arbitrum'],0.36350052452600484,17498330.606377218,6360652.353747563,False
95,Arbitrum,Rage Trade,Yield,['Arbitrum'],,14807161.073269684,,True
96,Arbitrum,Hop Protocol,Cross Chain,"['Ethereum', 'Arbitrum', 'Optimism', 'Polygon', 'Gnosis']",1.3000432541896685,13651695.915349104,17747795.182998255,False
97,Arbitrum,dForce,Lending,"['BSC', 'Arbitrum', 'Optimism', 'Ethereum', 'Polygon', 'Kava', 'Avalanche']",2.4818676162129156,13239603.264808772,32858942.59443568,False
98,Arbitrum,MUX Protocol,,"['Arbitrum', 'BSC', 'Optimism', 'Avalanche', 'Fantom', 'Ethereum']",,12191930.149255555,,False
99,Arbitrum,Shell Protocol,Dexes,['Arbitrum'],,10889614.598104348,,False
100,Arbitrum,KyberSwap,,"['Ethereum', 'Polygon', 'Avalanche', 'Arbitrum', 'Optimism', 'BSC', 'Fantom', 'Cronos', 'Bittorrent', 'Oasis', 'Velas', 'Aurora']",,10150641.538479796,,False
101,Arbitrum,Hegic,Options,"['Arbitrum', 'Ethereum']",2.2871164498027574,9978401.654581983,22821766.566933505,False
102,Arbitrum,GMD Protocol,Yield Aggregator,['Arbitrum'],,8025843.072220395,0.0,True
103,Polygon,AAVE,,"['Ethereum', 'Polygon', 'Avalanche', 'Optimism', 'Arbitrum', 'Fantom', 'Harmony']",,319522767.77884793,,False
104,Polygon,Quickswap,,"['Polygon', 'Dogechain']",,157920049.29569528,,False
